ID,Label,Following,Followers,Tweets_count,Favourites,Time_Zone,Location
civiscivil,civiscivil,1862,490,10298,569,Madrid,
CedixSoyYo,CedixSoyYo,73,62,358,105,,
libres_domingas,libres_domingas,569,683,18758,11350,Pacific Time (US & Canada),ojalá en un concierto
ComeHerePuthes,ComeHerePuthes,47,42,160,15,,"Galicia, España"
soymutonto,soymutonto,134,59,2209,563,Pacific Time (US & Canada),
dani_nite,dani_nite,709,870,53658,11721,Athens,ɨռռɛʀաօʀʟɖ | ѧяm•psєċ 
QueroGr,QueroGr,1438,1201,101435,22809,,
CafeYNoticiasJP,CafeYNoticiasJP,3948,3378,7648,205,,Colombia
Franciscoalbaca,Franciscoalbaca,449,530,59534,37874,,
Payaser,Payaser,770,28205,92682,151762,Madrid,"Texas, USA, Barcelona "
AmigosProgresis,AmigosProgresis,1254,679,10431,2579,Europe/Madrid,Alcorcon
BoigDelTerrat,BoigDelTerrat,577,189,9263,8423,Madrid,Mira detrás de ti.
clemente_al,clemente_al,2189,1406,74588,8024,Pacific Time (US & Canada),"Islas Canarias, España"
squantum1714,squantum1714,71,169,62118,465,,
Xuxipc,Xuxipc,275,73484,72856,59902,Athens,Zamora
MinatoBestDaddy,MinatoBestDaddy,400,1702,94064,148195,Madrid,Rakuzan/HOMRA/Kiheitai
__Maiq,__Maiq,457,463,131427,213393,Edinburgh,Grixis - Boros
redlipsexotic,redlipsexotic,1129,665,31898,7455,Madrid,seville
andoni_o,andoni_o,1780,1118,73282,33284,,Eskual rock n rollin
jonedgdg,jonedgdg,248,118,3787,7768,,
EstebanEmilia,EstebanEmilia,5001,2484,30933,30682,,Ponferrada
m_donis,m_donis,1706,1180,74948,1507,Athens,
lolaq20,lolaq20,4517,5542,69977,2003,Athens,
TruloxD,TruloxD,202,357,27641,8539,Pacific Time (US & Canada),
RojoDemagogo,RojoDemagogo,172,60,1556,526,,
FlashNoseCat,FlashNoseCat,352,366,19280,3416,Azores,
joserayab,joserayab,1085,737,35381,7565,Madrid,Córdoba
ALCNovelda,ALCNovelda,518,606,8461,66540,Madrid,Novelda
MaripazSDR,MaripazSDR,2367,1538,72155,14168,,Getafe
cagigos_mamen,cagigos_mamen,87,105,4784,11853,,
tonnirubio88,tonnirubio88,1431,1508,57246,15623,,Andalucía
garcijarvar,garcijarvar,519,1463,132459,68882,Madrid,Matrix (Provincia de Albacete)
polinariyagoc0n,polinariyagoc0n,26,10,446,316,Pacific Time (US & Canada),
iagoPodemos,iagoPodemos,2073,867,39799,39124,,
CJNovelda,CJNovelda,213,254,6598,46879,,Novelda
FrikerSalcedo,FrikerSalcedo,357,382,19044,5061,Amsterdam,Génova 13
Jonathan_HG91,Jonathan_HG91,3340,3224,480104,78162,Amsterdam,Sanlúcar de Barrameda (Cádiz)
SergeNicos,SergeNicos,86,8,897,4,,
fcojaviertorr14,fcojaviertorr14,67,37,759,1589,,"Sevilla, España"
nlk66,nlk66,372,93,1981,3076,,
Ireneecg,Ireneecg,277,505,20949,7437,Athens,Huelva
navegand0,navegand0,718,1619,96645,17322,Madrid,Girona   CAT  |l*I| 
monica_re19966,monica_re19966,233,437,24669,67514,Pacific Time (US & Canada),Madrid/Alemania 
Edelmiro1961,Edelmiro1961,869,2290,82121,28421,Pacific Time (US & Canada),Aquimismo
andreamqq,andreamqq,466,1855,30194,18191,,Canarias
angelesfig,angelesfig,2847,2607,19541,16711,Hawaii,A Guarda
kallavokas,kallavokas,65,15,1821,70,,
ligeretta,ligeretta,93,91,584,44,Madrid,"Barcelona, Spain"
mansan09,mansan09,902,587,22934,5211,,"Murcia,era alta España"
joseriv13006184,joseriv13006184,79,183,41044,14062,,
Vic12io,Vic12io,291,632,19121,26601,Madrid,
RafaGijon69,RafaGijon69,404,347,26461,1899,,"La Luna, Satélite de La Tierra"
PILI93s,PILI93s,4987,3492,59171,31565,Europe/Madrid,
Alfredictor,Alfredictor,76,34,610,884,,
catandy_eff,catandy_eff,250,206,11268,5245,,
jcd1483,jcd1483,1564,323,6377,5591,,Las Palmas de Gran Canaria
maricarvidalsam,maricarvidalsam,2622,2586,351352,66945,,Santander
cabezapercebe,cabezapercebe,733,193,5689,1791,Madrid,Cáceres city
RoqueBarcia,RoqueBarcia,1086,854,62890,38949,,"Cartagena , España"
lmpg_twi,lmpg_twi,267,354,47472,23393,,
salvad_m,salvad_m,1525,1616,193552,36337,Ljubljana,"Catalunya, Europa"
Dibecad,Dibecad,476,196,2077,19,Greenland,Tomares (Sevilla)
kepasawonda,kepasawonda,612,938,59116,64105,Amsterdam,Cantabria
neogeo39,neogeo39,143,165,48842,18284,Berlin,"Menos en España, donde sea"
AliciaLaulet46,AliciaLaulet46,7377,6864,37600,75594,Athens,BCN
izanthekiller1,izanthekiller1,337,42,925,566,,"El Prat de Llobregat, España"
angelsnovoape,angelsnovoape,479,248,9088,7547,,
carpeamorem,carpeamorem,4009,2196,74095,5575,,jardin de las delicias 
Colau5,Colau5,646,168,3387,286,Greenland,Dolingrado
Marinbaldo,Marinbaldo,905,306,12300,207,,"Mar Menor, Murcia, España,"
CKatarsis,CKatarsis,11476,20077,25388,20699,Madrid,
mercedescloilde,mercedescloilde,446,498,36887,42283,,
javimilanista,javimilanista,3408,2399,4692,944,Greenland,
Rubiozag,Rubiozag,426,322,14988,6643,,"Santander, Cantabria"
getaparo,getaparo,461,1683,348341,147,Madrid,
WGaztea,WGaztea,55,42,6133,851,,
ElCascabel13tv,ElCascabel13tv,189,48741,18482,173,Madrid,
Cesarsvlla,Cesarsvlla,316,2420,62160,44046,Hawaii,Sevilla
j0dedor69,j0dedor69,29,20,2039,47,,atapuerca City
cabajoseba,cabajoseba,71,77,1655,1175,,
dedomuelle,dedomuelle,300,79,4077,642,Madrid,Soy un polaco desos jejejejj
rfernandezjou,rfernandezjou,477,779,103957,37287,,
guiller_espiga,guiller_espiga,55,32,1151,735,,
DanielFerGz,DanielFerGz,214,180,29640,17694,Madrid,"Torrevieja, España"
Flashito_,Flashito_,106,368,107852,23212,Athens,Candadito: @turbotroleo
JoseLuque_41,JoseLuque_41,445,816,93017,19877,Pacific Time (US & Canada),Almería - Wrestlemania
LucasTyrell,LucasTyrell,60,14,680,59,Pacific Time (US & Canada),
spongeb95961656,spongeb95961656,153,7,287,184,,
Lia_PC,Lia_PC,161,128,1756,889,Madrid,Asteroide B612
Archaeopteryx8,Archaeopteryx8,648,451,11802,7396,Athens,
YulianaVK,YulianaVK,1203,867,73389,33425,Zagreb,"El Guinardó, Barcelona"
Anarisd,Anarisd,484,436,20203,7153,Europe/Madrid,Barcelona
GaldutaNago,GaldutaNago,10,4,25,2,West Central Africa,Donde no haya policía.
Juanmipuchalt,Juanmipuchalt,615,381,16415,5628,Madrid,València-Bilbo-Warszawa
carlosasturies,carlosasturies,987,935,14955,9131,Madrid,En Oviedo aunque Cangués
TbykmJr,TbykmJr,423,211,15809,19303,,"Detrás de ti, imbécil. "
aenriquezl,aenriquezl,303,62,4363,1627,,
UalidSarghini,UalidSarghini,147,351,12554,7448,Madrid,Vamos Mi Granada!! 
ShiOfAstora,ShiOfAstora,196,283,34896,52293,Madrid,
Grigorispoem,Grigorispoem,194,288,13448,10551,Pacific Time (US & Canada),Pronto en una caravana.
pepeitorr0,pepeitorr0,1871,1435,46009,743,Pacific Time (US & Canada),Madrid
Javiguanarteme,Javiguanarteme,139,81,1819,500,Madrid,"Zaragoza, Spain"
frikiquark,frikiquark,1375,537,57387,18804,Amsterdam,
guevarache31,guevarache31,2368,898,25012,233,,
DarthVaderBcn,DarthVaderBcn,418,564,51247,153,Madrid,Catalunya 
liverpooldavidm,liverpooldavidm,2046,1745,141119,81817,Madrid,
Doralaacusadora,Doralaacusadora,763,760,2896,1854,Athens,
Arnaiztech,Arnaiztech,365,345,11023,3491,Madrid,Burgos // Guzmán Ribera
apetecaown,apetecaown,358,405,4468,4348,,
rlisistrata,rlisistrata,365,175,2905,189,,
Aurora_Au_Rora,Aurora_Au_Rora,462,373,9417,16428,Madrid,"Barcelona, Catalunya "
junio1969,junio1969,1023,343,11542,1347,Pacific Time (US & Canada),
LLSSerrano,LLSSerrano,2985,2462,37499,17200,Athens,Quarta dimensió
PabloH_A,PabloH_A,1985,234,17236,1684,Amsterdam,http://ask.fm/PabloH_A  
Jordivll,Jordivll,9453,12648,101290,45542,Madrid,"Torrent, Pais Valencià"
antonio59946367,antonio59946367,183,72,2847,11,,
505inc,505inc,214,142,4422,2443,Pacific Time (US & Canada),Madrid
JosDiegoBarrado,JosDiegoBarrado,631,135,795,618,,
iSusans,iSusans,104,297,36891,7460,Madrid,Chasing rabbits.
tato1991ur,tato1991ur,3081,2221,42659,12248,Amsterdam,Suiza 
numb2106,numb2106,130,38,193,29,,"Valencia, España"
goiri_j,goiri_j,93,28,1336,21,,
matussera,matussera,59,592,4499,5567,Pacific Time (US & Canada),Muy de mi calle y de mi risa.
nenasub2,nenasub2,586,3473,83842,131424,Pacific Time (US & Canada),"Ordino, Andorra"
westmalle65,westmalle65,494,84,4978,2829,,
marixeruizde,marixeruizde,857,842,14925,6960,Amsterdam,Arrasate | Euskal Herrixa
ThorPolov,ThorPolov,1733,1564,29553,4702,Madrid,
vslponte,vslponte,1504,1559,47256,87178,Madrid,Ponte Vedra - Galiza
Silvicarri,Silvicarri,563,1148,13558,23054,,"Murcia, Rehiyon ng Kanlurang V"
erreharria,erreharria,2168,6271,56478,13269,Amsterdam,Mediocrilandia
Sara_gra,Sara_gra,636,1034,32277,7719,Madrid,Madrid
amisut,amisut,129,14,81,9,,
maquinandoarte,maquinandoarte,328,198,19931,1521,Athens,españa
ars_magno,ars_magno,204,995,35700,35893,Pacific Time (US & Canada),Den Haag
astridma_96,astridma_96,249,261,5887,6614,,
loronoabogados,loronoabogados,908,1413,1935,210,Amsterdam,"Bilbao, Getxo, Barakaldo."
sabinaaguado,sabinaaguado,4989,3497,43232,24363,Athens,BARCELONA-MADRID 616718464
jfmfernandez201,jfmfernandez201,281,142,2081,323,,
hartodelamafia,hartodelamafia,12,25,1321,399,,
rosacasasaynoza,rosacasasaynoza,454,439,65755,62689,,
Ainho_ao,Ainho_ao,625,244,11143,7346,,
stbnthegreat,stbnthegreat,149,66,10461,15526,Madrid,
JagEstrada,JagEstrada,10,5,523,136,,
Bestgoten,Bestgoten,206,39,509,260,," Madrid, España"
Eduard_Sans,Eduard_Sans,606,436,5543,1991,,
AsunToldra,AsunToldra,609,400,27212,14553,Madrid,
Bistekh,Bistekh,99,63,4141,4811,,"Barcelona, Espanya"
Pluckyto1975,Pluckyto1975,1616,2112,33742,24414,Brussels,Pamplona
tr0k01,tr0k01,900,238,10929,1102,Hawaii,GZ
1jandrolopez,1jandrolopez,9,8,18,1,Madrid,"Almería, España"
58Cramos,58Cramos,337,174,8371,2208,,
davidfeganu,davidfeganu,706,273,4030,2182,,
camacho_com,camacho_com,2236,864,35161,118,Athens,cadiz
DaveBarr98,DaveBarr98,259,179,2776,189,London,
alaznefs,alaznefs,182,115,7528,5996,Amsterdam,Euskal Herria
euroeuropa,euroeuropa,6576,7299,165549,137427,Madrid,1949DONEC PERFICIAM RepúbliCAT
jose_wyrm,jose_wyrm,563,306,10179,6407,,"el baño, mi casa"
Mayi_Ibias,Mayi_Ibias,985,828,40811,3721,,"Ibias, España"
emocionycambio,emocionycambio,6541,7000,229350,63443,Europe/Madrid, Desde Mayo  2014    Barcelona
Anto360nio,Anto360nio,529,198,12964,7826,,Albacete
mxnrrie_,mxnrrie_,721,1158,32510,74248,Athens,"Madrid, España"
EuropaSombria,EuropaSombria,468,102,2334,1566,Lisbon,Espaňa
juanman78734705,juanman78734705,0,0,70,0,Pacific Time (US & Canada),
CloscaRoja,CloscaRoja,732,506,7113,345,Madrid,Manresa - Catalunya
hdcarrefour,hdcarrefour,524,15162,108074,51677,Madrid,Málaga - Spanien
carollm333,carollm333,770,992,121918,45,Pacific Time (US & Canada),
desobediencia69,desobediencia69,750,978,75763,53064,,
JuanjeAlcon,JuanjeAlcon,844,659,28634,9620,Madrid,Tuna metalera de Sevilla
LNCleon,LNCleon,223,7583,20399,2709,Amsterdam,
_01010011_,_01010011_,537,497,4597,490,Athens,Catalunya
MiguelLorenzo10,MiguelLorenzo10,181,100,4109,1047,,"Albacete, España"
dnicatala,dnicatala,1484,7975,153083,115282,Brussels,"Terrassa, Catalunya"
gi_kel,gi_kel,1707,2645,27729,4545,,Catalunya
kdnpv,kdnpv,472,235,33113,16561,Madrid,
RogerYoda,RogerYoda,5989,7636,90368,91870,Madrid,"E Street, Jungleland"
cigarunfumarro,cigarunfumarro,402,1513,70105,112327,Athens,zaragoza - boltanya
dannypeewee,dannypeewee,730,301,6360,1614,Madrid,san sebastian de los reyes
CirunCh,CirunCh,553,429,43954,173,,The Netherlands
Aquel_Coche,Aquel_Coche,487,3199,19266,14208,Lisbon,On the road
Sra_Iguana,Sra_Iguana,1109,147,7401,391,Pacific Time (US & Canada),Ciudad Autónoma de Buenos Aire
ConsiMiranda,ConsiMiranda,4922,4598,25598,46130,,Palma de Mallorca
angeles_calv,angeles_calv,13,1,18,271,,
75pilicapi,75pilicapi,2179,6530,130048,10960,Athens,mañolandia 
BcnLoles,BcnLoles,377,452,31187,15125,,"Barcelona, Spain"
mijailepv,mijailepv,1627,1224,7232,9760,,Galicia
ferrando_diego,ferrando_diego,240,243,614,348,,"Beniarbeig, España"
Zombor007,Zombor007,184,151,2650,1564,,
MariCruzIsasi,MariCruzIsasi,260,328,4083,9963,Madrid,Ciudad Real. España
ma_montse,ma_montse,215,95,10289,3258,,
porkoshark,porkoshark,132,28,243,22,,
ikerbest,ikerbest,385,214,7705,4120,,Gasteiz 
