ID,User,Created_at,Tweet,Following,Followers,Tweets_count,Favourites,Time_Zone,Location
846148668797456384,coapicito,2017-03-26 23:55:37,"RT @subversivos_: Si Tip y Coll podían contar chistes sobre Carrero Blanco en los años 80, y hoy te pueden llevar a la cárcel, hemos retroc…",1256,572,17551,137,Madrid,
846148414438035457,mxnrrie_,2017-03-26 23:54:37,"RT @masademocrata: ¿Qué tienen en común Amancio Ortega y Carrero Blanco?

QUE AMBOS EXPLOTAN PARA LLEGAR A LO MÁS ALTO. https://t.co/3WPKB2…",724,1159,32651,74925,Athens,"Madrid, España"
846147857983950848,agentePerkins,2017-03-26 23:52:24,"RT @GobernoAlem: Yo no digo nada, pero va a ir una chica a la cárcel más tiempo por hacer unos chistes de Carrero Blanco, que Urdangarín po…",319,77,10155,1737,Madrid,
846146060661805056,TheGrandPene,2017-03-26 23:45:16,Aquí auto denunciandome el Twitter por hacer chistes de Carrero Blanco. https://t.co/fQQR5zjWyW,334,1394,67159,8759,Athens,"Bizkaia, País Vasco"
846145752950812672,BIackesito,2017-03-26 23:44:02,Estoy escuchando en bucle un audio de la Carrero Blanco del crush imitando a D.VA,218,239,24115,4230,London,Logia's Maintenance Room
846145335814754304,ToniQuique,2017-03-26 23:42:23,"RT @Berlustinho: ""Joder, se me ha pasado la hora volando.""

Carrero Blanco",1881,1986,61444,73944,Amsterdam,Aquí 
846144660024311808,Y2JIMWhite,2017-03-26 23:39:42,RT @eljueves: En el nuevo trailer de DC se ve como la Liga de la Justicia salva al mundo persiguiendo a tuiteros que hacen chistes de Carre…,369,590,35007,1199,Greenland,Reino Unido
846143253619593216,BIackesito,2017-03-26 23:34:06,"@Rvbia acaba de crear la mejor metáfora del mundo, y la describe a ella a la perfección ""el Carrero Blanco del crush""",218,239,24115,4230,London,Logia's Maintenance Room
846141826616709120,ClaraPeke1997,2017-03-26 23:28:26,"RT @EsppeonzAguirre: ➖Bromas sobre Carrero Blanco = Procesamiento
➖Burlas sobre los fusilados enterrados en CUNETAS = VOTOS
 #FelizDomingo…",200,186,29050,6511,,
846140242491068416,ericbf23,2017-03-26 23:22:08,"RT @Berlustinho: ""Joder, se me ha pasado la hora volando.""

Carrero Blanco",831,277,3020,2881,Madrid,"Gavà, Països Catalans"
