ID,Label,Created_at,Tweet,Following,Followers,Tweets_count,Favourites,Time_Zone,Location
ToniSKZ,ToniSKZ,2017-03-28 23:50:49,Que encarcelen a alguien por hacer chistes sobre Carrero Blanco me parece totalmente ridículo desde todos los aspectos.,465,86,3033,4370,Pacific Time (US & Canada),Mdd
Peregrinx,Peregrinx,2017-03-28 23:45:43,RT @dalequetepego: Dos noticias juntas se entienden mejor (y cabrean más) https://t.co/RjSe1g0Jfk https://t.co/oR2tQKIuum,105,11,68,35,Madrid,
ferotecas,ferotecas,2017-03-28 23:45:17,"RT @alguien_neutral: @_infoLibre Magnífica frivolidad! Esto no es burlarse de las víctimas del genocidio?  Claro, como no afecta a Carrero…",1215,1015,44783,9344,Pacific Time (US & Canada),Vigo-Galicia
dani_nite,dani_nite,2017-03-28 23:41:58,Regalémosle un cosplay de Carrero Blanco al bus de HazteOír cuando pasé por Sevilla mañana.,707,871,53704,11749,Athens,ɨռռɛʀաօʀʟɖ | ѧяm•psєċ 
MrGris949,MrGris949,2017-03-28 23:26:28,@Antoniogestion de todos modos solo hacen algo si te metes con carrero blanco o con alguna otra figura de esa tonalidad.😉,58,33,4794,2710,,Mmm... creo que me perdí
fandelat3,fandelat3,2017-03-28 23:25:30,"RT @AntonioMaestre: Dice el fiscal Torrijos que la nieta de Carrero Blanco no es quién para decir si se siente ofendida, que para eso está…",58,1138,151383,37448,Athens,Lluitant per un món millor.
fandelat3,fandelat3,2017-03-28 23:25:11,"RT @guille_lorca: -Están hiriendo los sentimientos de la familia de Carrero Blanco!

-Soy su nieta, y... la verdad es que no.

-Tú te calla…",58,1138,151383,37448,Athens,Lluitant per un món millor.
CJuanatey,CJuanatey,2017-03-28 23:23:05,"RT @LekaconK: CARRERO BLANCO EN UN TAXI:

- Por favor, a la calle Mayor.

- ¿A qué altura le dejo?

- Ya vale con la coña.",2496,1289,12623,1015,Greenland,Compostela
deathlesssong,deathlesssong,2017-03-28 23:15:35,"RT @fermont1965: Los tuits son como los pimientos de padrón, los de Carrero Blanco pican los de Garcia Lorca no https://t.co/e9hiHOH0iJ",226,182,16533,15749,,"Palacios del Sil, España"
JuanmaMM98,JuanmaMM98,2017-03-28 23:04:28,"RT @ComeHerePuthes: Ya que insta no deja subirlo por copy lo subo aqui xd

Carrero Blanco ministro naval
tenia un sueño volar y volar!!

Va…",191,45,1283,653,,
irene_3098,irene_3098,2017-03-28 22:58:20,"RT @swantxo: ""A buscar aparcamiento ajjaj""

Carrero Blanco

*me la acabo de inventar pero ojalá",873,1429,33425,58205,Amsterdam,Lleida/Londres
M1GU3L_MP,M1GU3L_MP,2017-03-28 22:55:28,RT @suggarmarxist: &gt;araña por unos chistes de carrero blanco. Recibió bastante apoyo y tal y se suponía que hoy iba a declarar.,1653,1080,26540,11699,Madrid,"Irun, Euskal Herria"
IrisDM7,IrisDM7,2017-03-28 22:46:55,"RT @iunida: ¿Haces bromas sobre Carrero Blanco? Pues a la cárcel.
¿Te burlas de las víctimas del franquismo? Bah, no es para tanto. https:/…",281,445,12846,1982,Greenland,en extinción
prazadorei,prazadorei,2017-03-28 22:33:29,Hoxe lin unha polémica por un qué fixo coñas cos tuiteros imputados polas bromas de Carrero Blanco. Creo que é o metatuiter.,359,374,16229,3783,Madrid,"Vigo, Pontevedra, Galiza."
ANTONIACUE,ANTONIACUE,2017-03-28 22:32:41,"RT @JoaquimBoschGra: Contar chistes sobre Carrero es reírse de una dictadura, sin que implique apoyar al terrorismo.Lo digo en AlRojoVivo h…",1674,1666,220393,17771,,ESPAÑA
MadeInYW,MadeInYW,2017-03-28 22:26:53,"En los cursos de piloto, se estudia a Carrero Blanco https://t.co/37YnmuYZqC",232,2760,49881,25960,Pacific Time (US & Canada),Nowhere
KARLOSGARCIA75,KARLOSGARCIA75,2017-03-28 22:23:24,"RT @norcoreano: Carrero Blanco vuelve a ser TT, y además uno de los más altos.",221,403,34119,46830,,
bette_noir__,bette_noir__,2017-03-28 22:12:43,RT @suggarmarxist: &gt;araña por unos chistes de carrero blanco. Recibió bastante apoyo y tal y se suponía que hoy iba a declarar.,2762,1268,59619,24262,Athens,
penefurtivo,penefurtivo,2017-03-28 22:10:26,RT @yanina_rubia: Vivimos en un país en el que no puedes tuitear chistes sobre Carrero Blanco pero sí poner en tu biografía que eres hitler…,107,36,164,629,,Jaén
Aidape_96,Aidape_96,2017-03-28 22:05:13,"¿por qué dicen que los negros son superiores física... — NO SE DICE EXPLOTADO, SE DICE CARRERO BLANCO. https://t.co/z3y1YaAoTT",633,664,11791,6265,London,Fleet Street
