ID,Label,Following,Followers,Tweets_count,Favourites,Time_Zone,Location
ToniSKZ,ToniSKZ,465,86,3033,4370,Pacific Time (US & Canada),Mdd
Peregrinx,Peregrinx,105,11,68,35,Madrid,
ferotecas,ferotecas,1215,1015,44783,9344,Pacific Time (US & Canada),Vigo-Galicia
dani_nite,dani_nite,707,871,53704,11749,Athens,ɨռռɛʀաօʀʟɖ | ѧяm•psєċ 
MrGris949,MrGris949,58,33,4794,2710,,Mmm... creo que me perdí
fandelat3,fandelat3,58,1138,151383,37448,Athens,Lluitant per un món millor.
CJuanatey,CJuanatey,2496,1289,12623,1015,Greenland,Compostela
deathlesssong,deathlesssong,226,182,16533,15749,,"Palacios del Sil, España"
JuanmaMM98,JuanmaMM98,191,45,1283,653,,
irene_3098,irene_3098,873,1429,33425,58205,Amsterdam,Lleida/Londres
M1GU3L_MP,M1GU3L_MP,1653,1080,26540,11699,Madrid,"Irun, Euskal Herria"
IrisDM7,IrisDM7,281,445,12846,1982,Greenland,en extinción
prazadorei,prazadorei,359,374,16229,3783,Madrid,"Vigo, Pontevedra, Galiza."
ANTONIACUE,ANTONIACUE,1674,1666,220393,17771,,ESPAÑA
MadeInYW,MadeInYW,232,2760,49881,25960,Pacific Time (US & Canada),Nowhere
KARLOSGARCIA75,KARLOSGARCIA75,221,403,34119,46830,,
bette_noir__,bette_noir__,2762,1268,59619,24262,Athens,
penefurtivo,penefurtivo,107,36,164,629,,Jaén
Aidape_96,Aidape_96,633,664,11791,6265,London,Fleet Street
bobfabulosa,bobfabulosa,294,430,11376,11392,Athens,Talavera no es España.
CayedoggPs4,CayedoggPs4,407,404,20108,2961,,Las Torres Gemelas
raeworld11,raeworld11,94,80,2509,3197,Madrid,
42franmarma,42franmarma,1994,2134,87870,36277,Belgrade,"Andalucía, sevilla"
PewPewGrrrl,PewPewGrrrl,501,8847,419621,275474,Madrid,veganismo o barbarie Ⓥ
zakhidgtg9bog,zakhidgtg9bog,31,6,329,273,,
LittleOne_Beibi,LittleOne_Beibi,499,1369,44592,38261,Amsterdam,VALENCIA - MADRID.
skazofrenico,skazofrenico,158,421,46789,27145,,Estamos en esto por las drogas
Lourdes180679,Lourdes180679,1962,1965,30267,30837,,
victor_more1,victor_more1,1194,760,26251,6204,Madrid,"Valladolid, Castilla "
FranSolano,FranSolano,579,1240,16337,1053,Madrid,Lorca
PatrySanroman,PatrySanroman,276,131,4976,442,,
GuillemGirona,GuillemGirona,907,371,6900,405,Athens,Girona
Pardehuevos_,Pardehuevos_,419,998,14040,6727,Pacific Time (US & Canada),Mestalla~Stamford Bridge 
celiama9,celiama9,532,77,230,5,,
jordigil96,jordigil96,414,411,25931,31541,Madrid,Deepweb
MathewStrat,MathewStrat,254,436,45752,74038,,The nineteenth floor
Alej037,Alej037,25,35,4270,1888,Pacific Time (US & Canada),
cesvlc,cesvlc,387,848,136467,2371,Madrid,"el Poble Sec, Barcelona"
DoktorZero,DoktorZero,227,821,54781,12813,Madrid,Valenciano en Salou
duotrece,duotrece,356,132,16119,36860,Athens,"Cataluña, España"
Kid_letro,Kid_letro,682,937,105445,54672,,
JorgeOtolio,JorgeOtolio,208,119,5014,3274,Europe/Prague,"České Budějovice, Rep. Checa"
AirMaxDon,AirMaxDon,999,1104,111997,35969,Ljubljana,Internet
_ju1_,_ju1_,1852,50061,119002,109427,Athens,"Alicante, España"
Gabrielestan,Gabrielestan,492,816,6117,1854,Ljubljana,"Torrevieja, mi ciudad."
MarioRMMM,MarioRMMM,293,293,17810,3739,Madrid,Madrid
paco_cambra,paco_cambra,257,264,1501,1596,Athens,
DrSamoano,DrSamoano,429,78,4182,6270,,"Santiago de Compostela, España"
surrendermin20,surrendermin20,100,66,9634,3300,Madrid,BCN
pablo6814,pablo6814,276,109,3981,1341,,"Detroit, MI"
