Source,Target
civiscivil,Xuxipc
CedixSoyYo,eljueves
libres_domingas,ComeHerePuthes
soymutonto,Payaser
dani_nite,Xuxipc
QueroGr,Xuxipc
CafeYNoticiasJP,subversivos_
Franciscoalbaca,Xuxipc
Payaser,Xuxipc
AmigosProgresis,Xuxipc
BoigDelTerrat,Xuxipc
clemente_al,Xuxipc
ComeHerePuthes,esasOtra
squantum1714,fermont1965
MinatoBestDaddy,esasOtra
__Maiq,esasOtra
redlipsexotic,daviniaweasley
redlipsexotic,policia
libres_domingas,esasOtra
andoni_o,esasOtra
jonedgdg,Garrosa
EstebanEmilia,Xuxipc
m_donis,Xuxipc
lolaq20,Xuxipc
FlashNoseCat,JoaquimBoschGra
joserayab,YouTube
joserayab,unosMemiyos
joserayab,unosMemiyos
ALCNovelda,eljueves
ALCNovelda,eljueves
MaripazSDR,JDCarracedo
cagigos_mamen,fermont1965
tonnirubio88,JoaquimBoschGra
polinariyagoc0n,quiquepeinado
iagoPodemos,sextaNoticias
CJNovelda,eljueves
iagoPodemos,JoaquimBoschGra
CJNovelda,eljueves
CJNovelda,eljueves
CJNovelda,eljueves
Jonathan_HG91,subversivos_
SergeNicos,ElCascabel13tv
fcojaviertorr14,subversivos_
nlk66,subversivos_
Ireneecg,daviniaweasley
Ireneecg,policia
navegand0,Cesarsvlla
navegand0,elespanolcom
navegand0,AlbertoLardies
monica_re19966,fermont1965
Edelmiro1961,Tremending
andreamqq,daviniaweasley
andreamqq,policia
angelesfig,Tremending
kallavokas,SatanasChungo
ligeretta,eljueves
mansan09,subversivos_
joseriv13006184,subversivos_
Vic12io,Sara_gra
Vic12io,kira_95
RafaGijon69,subversivos_
RafaGijon69,IzquierdaRevMad
RafaGijon69,rebeldia99
RafaGijon69,Xuxipc
RafaGijon69,TropaAntifa
RafaGijon69,JDCarracedo
RafaGijon69,EvaGSempere
RafaGijon69,BananaRancia
PILI93s,subversivos_
Alfredictor,subversivos_
catandy_eff,subversivos_
jcd1483,JoaquimBoschGra
maricarvidalsam,ElCascabel13tv
RoqueBarcia,jorgegmerino
lmpg_twi,jorgegmerino
salvad_m,fermont1965
Dibecad,eljueves
Dibecad,eljueves
kepasawonda,Sara_gra
kepasawonda,kira_95
AliciaLaulet46,fermont1965
izanthekiller1,dedomuelle
angelsnovoape,GobernoAlem
carpeamorem,GobernoAlem
Colau5,Mrcalb13
Colau5,navarro1997
Marinbaldo,ElCascabel13tv
CKatarsis,ElCascabel13tv
mercedescloilde,Cesarsvlla
mercedescloilde,elespanolcom
mercedescloilde,AlbertoLardies
javimilanista,fermont1965
Rubiozag,ElCascabel13tv
getaparo,ElCascabel13tv
WGaztea,Sara_gra
WGaztea,kira_95
Cesarsvlla,elespanolcom
Cesarsvlla,AlbertoLardies
cabajoseba,Garrosa
rfernandezjou,Berlustinho
guiller_espiga,eljueves
Flashito_,YouTube
Flashito_,unosMemiyos
Flashito_,unosMemiyos
LucasTyrell,hugothester
LucasTyrell,pintxodemerluza
spongeb95961656,fermont1965
Lia_PC,fermont1965
Archaeopteryx8,aluniza2
YulianaVK,subversivos_
YulianaVK,eljueves
Anarisd,fermont1965
GaldutaNago,fermont1965
Juanmipuchalt,Andres_Boix
carlosasturies,jonisual88
carlosasturies,vines1926
carlosasturies,franfeten
aenriquezl,subversivos_
YulianaVK,subversivos_
YulianaVK,JDCarracedo
ShiOfAstora,Grigorispoem
UalidSarghini,Lolo_Sev
UalidSarghini,ahorapodemos
pepeitorr0,subversivos_
Javiguanarteme,subversivos_
frikiquark,subversivos_
guevarache31,subversivos_
DarthVaderBcn,Silvicarri
liverpooldavidm,subversivos_
Doralaacusadora,Xuxipc
Arnaiztech,Sara_gra
Arnaiztech,kira_95
apetecaown,Silvicarri
rlisistrata,subversivos_
carlosasturies,jonisual88
carlosasturies,vines1926
carlosasturies,franfeten
Aurora_Au_Rora,fermont1965
junio1969,ropavieja94
LLSSerrano,lamarea_com
PabloH_A,Andres_Boix
Jordivll,subversivos_
antonio59946367,GobernoAlem
carlosasturies,jonisual88
carlosasturies,vines1926
carlosasturies,franfeten
505inc,eljueves
JosDiegoBarrado,Tremending
iSusans,_ju1_
iSusans,MiguelF10013687
antonio59946367,Sr_Dios
antonio59946367,fermont1965
numb2106,Rictusempra_x
antonio59946367,JDCarracedo
goiri_j,GARA_ialtuna
goiri_j,publico_es
matussera,Silvicarri
nenasub2,Silvicarri
RafaGijon69,GatoHitleriano
westmalle65,Silvicarri
marixeruizde,Sara_gra
marixeruizde,kira_95
ThorPolov,JDCarracedo
vslponte,subversivos_
erreharria,Sara_gra
erreharria,kira_95
Sara_gra,kira_95
amisut,fermont1965
maquinandoarte,subversivos_
ars_magno,NaryaBlackfyre
astridma_96,elmundotoday
sabinaaguado,fermont1965
jfmfernandez201,eljueves
hartodelamafia,Gomecello
hartodelamafia,_ju1_
rosacasasaynoza,LoFuflunet
rosacasasaynoza,carlesponsi
Ainho_ao,subversivos_
stbnthegreat,yeraysoy
JagEstrada,protestona1
Bestgoten,fermont1965
Eduard_Sans,fermont1965
AsunToldra,fermont1965
Bistekh,fermont1965
Pluckyto1975,Maconfi
1jandrolopez,joelrivero21121
58Cramos,LoFuflunet
58Cramos,carlesponsi
davidfeganu,subversivos_
camacho_com,subversivos_
DaveBarr98,eljueves
alaznefs,fermont1965
euroeuropa,LoFuflunet
euroeuropa,carlesponsi
stbnthegreat,Berlustinho
jose_wyrm,subversivos_
Mayi_Ibias,eljueves
emocionycambio,subversivos_
Anto360nio,toCarlosHuev0s
EuropaSombria,IberiaXVIII
juanman78734705,FacuDiazT
juanman78734705,kira_95
CloscaRoja,fermont1965
hdcarrefour,subversivos_
carollm333,subversivos_
desobediencia69,subversivos_
JuanjeAlcon,SirGrefu
LNCleon,dlmirantes
58Cramos,fermont1965
_01010011_,gabrielrufian
_01010011_,eleptric
MiguelLorenzo10,toCarlosHuev0s
dnicatala,fermont1965
gi_kel,fermont1965
kdnpv,Yo_Soy_Asin
RogerYoda,fermont1965
dannypeewee,subversivos_
CirunCh,fermont1965
Aquel_Coche,Aquel_Coche
Sra_Iguana,Garrosa
ConsiMiranda,subversivos_
angeles_calv,subversivos_
75pilicapi,subversivos_
75pilicapi,subversivos_
BcnLoles,Yo_Soy_Asin
mijailepv,iunida
ferrando_diego,Berlustinho
Zombor007,fermont1965
MariCruzIsasi,elmundotoday
ma_montse,subversivos_
porkoshark,protestona1
porkoshark,kira_95
mvallver,fermont1965
EngineerCVM,20m
EngineerCVM,ahorapodemos
JosefaPortales,fermont1965
MariCruzIsasi,subversivos_
corocota,mulacam
jpgaipo,chimoeneas
malyilusionada,subversivos_
Chiky_Godoy,Pablo_Iglesias_
carlesponsi,LoFuflunet
carlesponsi,carlesponsi
pintorperez1965,JDCarracedo
dora_nicoletta,LoFuflunet
dora_nicoletta,carlesponsi
rafaeltoussola,jorgegmerino
ferrancererols,Andres_Boix
Archel_6,quiquepeinado
Rap_Ulsel,fermont1965
galcahut,subversivos_
jancelbes,fermont1965
manel_martinezg,subversivos_
PerillaCaldes,chachucm
BenayasBena,subversivos_
judimendikoa,eidergorostiza
rycclah,Yo_Soy_Asin
Coyuco24Daniel,subversivos_
LUCHALTERNATIVA,yanina_rubia
Altair_BlueWolf,Flaco_Favor_
mohino50,subversivos_
ElPutoKanko,Laura_H93
ElPutoKanko,FacuDiazT
Ramoniii13,Yo_Soy_Asin
ManuelCostoya3,subversivos_
joseplata1958,subversivos_
charliemcgee1,subversivos_
rohandahl89,subversivos_
hayansorry,ClavoEx
patogiacomino,Yo_Soy_Asin
lluviatrisan,Yo_Soy_Asin
Jos3RG,subversivos_
villar_caro,subversivos_
TheGarci1,Berlustinho
jancelbes,subversivos_
Jose_Parish,sagraska
Jose_Parish,Pablo_Iglesias_
EUSKOGUDARI,Yo_Soy_Asin
sergiomellark,Kyke197
sergiomellark,policia
calimero_alasal,subversivos_
unamillaunpaso,eljueves
unamillaunpaso,kira_95
MikelPerez87,Yo_Soy_Asin
hayansorry,rcabrero75
TONINOVALENCIA,subversivos_
Sgarcia12SBD,subversivos_
hayansorry,fermont1965
apcc43,subversivos_
hayansorry,Xuxipc
jancelbes,subversivos_
Emcbng96,hugothester
Emcbng96,FacuBringa
TELSONIANA,subversivos_
AnaLlames,subversivos_
PabloSofio,eljueves
Miguel_H_G_,subversivos_
IKarmenkaz,Yo_Soy_Asin
mikelarrietah,GARA_ialtuna
mikelarrietah,publico_es
Miguel_H_G_,subversivos_
yolanda262,elpadrecorajede
skamoni3,Berlustinho
dfloj,Yo_Soy_Asin
CocaMaite,elpadrecorajede
juliangrau,Berlustinho
domgonpri,subversivos_
JBGandul,YouTube
JBGandul,unosMemiyos
JBGandul,unosMemiyos
El_Gran_Lama,jorgegmerino
Irialume,subversivos_
borjabaezabj,elpadrecorajede
giftields,Berlustinho
javierfflores,Yo_Soy_Asin
pilukify,subversivos_
evaortiz597,subversivos_
evaortiz597,subversivos_
SandrixPls,publico_es
marcosbgspain,isoladafionas
AlejandroAntifa,siaucame
analuna69,subversivos_
marc_strike,NTMEP
AdelaRo90101767,PlazaPodemos
JuanyGar63,subversivos_
LeilaYStitch,fermont1965
LeilaYStitch,siaucame
rncbsn92,fermont1965
LUCHALTERNATIVA,fermont1965
LUCHALTERNATIVA,Garrosa
LUCHALTERNATIVA,siaucame
patxipamplona,clacunza
miguelinpin,subversivos_
el_amapola,subversivos_
er_retuiteado,subversivos_
Agente03077434,subversivos_
PabloGvx,Ibai_93
adrianLG45,subversivos_
Lolo_Sev,subversivos_
Mundoconmisojos,subversivos_
nonymousNews,subversivos_
CarmenMayordom1,subversivos_
DEEMIAN666,subversivos_
maquinandoarte,subversivos_
rosarobco,subversivos_
unaguacero,CesarStrawberry
unaguacero,kira_95
Garzoners_,publico_es
Manjitklan,jorgegmerino
Joseadpg,jorgegmerino
4mayuscula,4mayuscula
4mayuscula,Fnac_ESP
ManuelG91623212,subversivos_
JohnConstantin1,Andres_Boix
locuspolitikus,subversivos_
MaripazSDR,JoaquimBoschGra
locuspolitikus,subversivos_
Jafuselai,publico_es
Jafuselai,LTGarlic
Jafuselai,TienesTipex
Jafuselai,publico_es
NaiaLaPapaya,publico_es
ViasEnri,fermont1965
SanderLadetu,jorgegmerino
JoseMariArroyo,GobernoAlem
LAblaut,elmundotoday
BGB85,jorgegmerino
AnaJuradoR,fermont1965
DomingoMachin,arayamas
DomingoMachin,ActualidadRT
usualminds,Xuxipc
fuentedelberro,fermont1965
naranjorafael2,subversivos_
unaguacero,Garrosa
Rosario_Sanjuan,subversivos_
pedrojaviermar2,subversivos_
ismitis,WaRBoK
ccclaudiacr,Berlustinho
lapepa1958,subversivos_
rycclah,eljueves
rycclah,Lolo_Sev
rycclah,ahorapodemos
PaulaIglesias11,NTMEP
hannahbcn1,LoFuflunet
hannahbcn1,carlesponsi
europa6565,subversivos_
mariavazquezgen,subversivos_
Alberto_MSan,jorgegmerino
Espigao00,sofia1984
Espigao00,Rockmantica
queridotonisky,jorgegmerino
PalPakiyo,gameralisis
InesGilabert,Berlustinho
