ID,Label,Created_at,Tweet,Following,Followers,Tweets_count,Favourites,Time_Zone,Location
civiscivil,civiscivil,2017-03-27 23:57:03,RT @Xuxipc: Skynet tomando conciencia de sí misma y mandando un Terminator al pasado a contar chistes de Carrero Blanco.,1862,490,10298,569,Madrid,
CedixSoyYo,CedixSoyYo,2017-03-27 23:56:43,"RT @eljueves: Solemos elegir uno pero esta semana fue imposible. ¡Aquí tenéis vuestros 15 mejores #PonleChiste de Carrero Blanco!
https://t…",73,62,358,105,,
libres_domingas,libres_domingas,2017-03-27 23:53:12,"RT @ComeHerePuthes: Ya que insta no deja subirlo por copy lo subo aqui xd

Carrero Blanco ministro naval
tenia un sueño volar y volar!!

Va…",569,683,18758,11350,Pacific Time (US & Canada),ojalá en un concierto
ComeHerePuthes,ComeHerePuthes,2017-03-27 23:52:43,"Ya que insta no deja subirlo por copy lo subo aqui xd

Carrero Blanco ministro naval
tenia un sueño volar y volar!!… https://t.co/zuiE5o4wQ6",47,42,160,15,,"Galicia, España"
soymutonto,soymutonto,2017-03-27 23:52:33,@Payaser dile a la policía que no para de hacer chistes de carrero blanco y acabas antes.,134,59,2209,563,Pacific Time (US & Canada),
dani_nite,dani_nite,2017-03-27 23:48:48,RT @Xuxipc: Skynet tomando conciencia de sí misma y mandando un Terminator al pasado a contar chistes de Carrero Blanco.,709,870,53658,11721,Athens,ɨռռɛʀաօʀʟɖ | ѧяm•psєċ 
QueroGr,QueroGr,2017-03-27 23:46:01,RT @Xuxipc: ÚLTIMA HORA: La Fiscalía pide resucitar a Tip y Coll para poder juzgarles por este chiste sobre Carrero Blanco. https://t.co/NA…,1438,1201,101435,22809,,
CafeYNoticiasJP,CafeYNoticiasJP,2017-03-27 23:44:24,"RT @subversivos_: Semana de chiste en la Audiencia Nacional. Los tuiteros desafían a la fiscalía con chistes de Carrero Blanco 💯👏
https://t…",3948,3378,7648,205,,Colombia
Franciscoalbaca,Franciscoalbaca,2017-03-27 23:43:14,RT @Xuxipc: Skynet tomando conciencia de sí misma y mandando un Terminator al pasado a contar chistes de Carrero Blanco.,449,530,59534,37874,,
Payaser,Payaser,2017-03-27 23:43:03,RT @Xuxipc: Skynet tomando conciencia de sí misma y mandando un Terminator al pasado a contar chistes de Carrero Blanco.,770,28205,92682,151762,Madrid,"Texas, USA, Barcelona "
