ID,Label,Created_at,Tweet,Following,Followers,Tweets_count,Favourites,Time_Zone,Location
beache22,beache22,2017-03-29 23:59:59,"RT @ulises_sevilla: - y a ti, ¿por qué te encerraron?
- chistes de Carrero Blanco, ¿y tú?
- títeres https://t.co/mMm3GYkRxZ",1081,366,16557,7193,,
ibosim,ibosim,2017-03-29 23:59:57,"RT @Yo_Soy_Asin: Yo me pregunto 
¿Si los q asesinaron a Carrero Blanco fueron amnistiados en 1.977, como pueden condenar a Cassandra en 2.0…",59,108,7483,704,Madrid,Sant Antoni
PanucciTucci,PanucciTucci,2017-03-29 23:59:57,"RT @agarzon: Un año de cárcel a la tuitera que hizo chistes sobre Carrero Blanco, un fascista volador. Este régimen está podrido. https://t…",172,24,225,72,,Sevilla .Triana
jrgv_,jrgv_,2017-03-29 23:59:57,RT @ctxt_es: Hola @aprensamadrid. Hemos lanzado este manifiesto contra la condena a #Cassandra. Si queréis sumaros... https://t.co/rvYvcru1…,881,1144,40733,3387,Madrid,Entre Ponferrada y Burgos.
Theheavydario,Theheavydario,2017-03-29 23:59:55,"RT @HermanosPelaez: A ver si lo entiendo:
¿Tiene más condena hacer chistes sobre la muerte de Carrero Blanco QUE MATAR A CARRERO BLANCO?? h…",341,420,38664,31878,,Picassent. País Valencià
betito_diablito,betito_diablito,2017-03-29 23:59:54,"@elmundotoday @_Megan_Rose Carrero Blanco, primer astronauta del reino de España...",202,47,3674,751,,
tort77,tort77,2017-03-29 23:59:49,"RT @egel71: Ves, si en vez de hacer chistes de Carrero Blanco hubiera hecho un tuit diciendo ""Artur Mas, cámara de gas"", habría sido condec…",2178,1147,23212,15666,,"Barcelona, Catalunya"
Rxarvixw,Rxarvixw,2017-03-29 23:59:49,"RT @PabloMM: Mi padre contaba que tras la muerte de Carrero Blanco, en los bares de confianza, se decía: ""pida vino tinto, el blanco está p…",294,110,6454,645,Pacific Time (US & Canada),"Ayamonte, España"
MiraLomax,MiraLomax,2017-03-29 23:59:48,RT @gerardotc: El mal gusto no es delito. La sátira no es delito. El humor negro no es delito. Basta de mordazas. #YoSoyCassandra https://t…,158,110,9430,5684,,Madrid
mrsannco,mrsannco,2017-03-29 23:59:48,RT @gerardotc: Mi chiste preferido de Carrero Blanco es el que contó alguien que tiene inmunidad. https://t.co/ttGOBcvdPy,62,90,33348,6558,Madrid,Profundidades de R'lyeh
