ID,Label,Following,Followers,Tweets_count,Favourites,Time_Zone,Location
IgnasiCandela,IgnasiCandela,1026,1904,4063,4226,Madrid,Alacant / Madrid
Chapi_71,Chapi_71,743,572,3742,2274,Athens,Burguillos (Sevilla)
luzdelacalle,luzdelacalle,507,254,12032,577,,
obafemi_99,obafemi_99,1171,274,4768,1613,Amsterdam,Milano-Donostia
Kongriov,Kongriov,107,65,5852,526,Madrid,
bamba81,bamba81,376,64,345,165,,"Palma, España"
RockmareaFern,RockmareaFern,112,62,4191,671,,
mmontesdorado,mmontesdorado,327,92,7314,998,London,creuant el Rubicó (l'Ebre)
AnOceanInMySoul,AnOceanInMySoul,716,683,41416,4482,Madrid,"In Wonderland, bitches. "
Danismilelou,Danismilelou,123,63,1424,757,Athens,el abismo
KGYIH,KGYIH,364,614,139524,1544,Madrid,Galicia-Canada-San Junipero
Einyel16,Einyel16,203,99,62572,25237,Madrid,Carthago Nova
analani,analani,2371,1920,51383,1431,Madrid,"Comunidad de Madrid, España"
esturkita,esturkita,2371,1212,63656,13935,Greenland,
enadorod,enadorod,95,43,719,952,,
Manu_S_Q,Manu_S_Q,516,250,7719,7081,Madrid,Grand Line
Asesinodealmas,Asesinodealmas,657,400,13377,6251,,"Granada, Andalucía"
roserblasco,roserblasco,476,122,2150,916,,
gelvoi_,gelvoi_,1046,313,5747,7104,Madrid,
JUANMESTOM,JUANMESTOM,483,123,6215,2131,Athens,el ppais de los chorizos
Riky596,Riky596,553,196,2059,5465,Amsterdam,
MabelFigueruelo,MabelFigueruelo,889,1380,78297,29282,,
2412Jm,2412Jm,663,520,19659,29716,,
juankarmv,juankarmv,449,1133,89116,221,,
moreiras26,moreiras26,405,360,2140,1098,Madrid,
RosaSanzD,RosaSanzD,314,92,639,202,Madrid,Barcelona
TheMightyManu,TheMightyManu,82,33,1270,1507,,
MarcosTerolLlor,MarcosTerolLlor,294,148,3522,1956,Madrid,
gemon68,gemon68,851,477,58855,30281,Madrid,En el Foro
DanubeMelul,DanubeMelul,232,189,1609,2326,,
BertoOrio97,BertoOrio97,267,281,3400,1594,,
Juanon0768,Juanon0768,467,53,1426,72,,
manubertran10,manubertran10,2072,1429,384,4323,,
ChadelgaCharo,ChadelgaCharo,263,129,5858,60,,
jordi_rouge,jordi_rouge,854,915,59143,33740,Madrid,Barcelona Catalunya.
Juamp22,Juamp22,511,274,5515,947,Athens,
beatrizarmen,beatrizarmen,202,379,21012,16351,Athens,♀         
anastasiogarcia,anastasiogarcia,5481,5567,82098,983,Greenland,madrid
PalomaDa2,PalomaDa2,575,276,6532,2853,,
AndresAzana,AndresAzana,4684,4190,4539,29,Amsterdam,"Castelldefels, Catalunya"
laurasole93,laurasole93,1365,878,1594,8,Amsterdam,Sabadell
fartdepop,fartdepop,2791,1539,2565,5,Amsterdam,"Vic-Girona, Països Catalans"
EduFdezSoy,EduFdezSoy,450,339,18491,9032,Madrid,"Kepler-62F, o...   ...o Málaga"
outlaw4242,outlaw4242,624,507,36541,5602,Athens,Alicante (Pais Valenciá).
EmpoPR,EmpoPR,542,604,33392,13415,,
MaEu1508,MaEu1508,42,17,29,32,Athens,Madrid
DaniLanso97,DaniLanso97,1682,1904,22134,919,Amsterdam, Bilbao-Dortmund-Portugalete
XurxoGB,XurxoGB,197,105,1007,3118,,"Galicia, Spain"
Anonymanu,Anonymanu,312,43,1509,1029,Athens,
sau8719,sau8719,158,70,472,72,Amsterdam,
_TripleD_,_TripleD_,457,192,12409,8023,London,Las palmas de Gran DEMAAACIA
hiraharas,hiraharas,386,670,205661,27252,Amsterdam,Byakudan Senior High School
Trek_970,Trek_970,180,90,5399,5929,,Spain
velherysemy,velherysemy,522,360,37533,5517,,
Sucedaneosdesal,Sucedaneosdesal,289,991,103457,44184,Madrid,IMT 
juanza74,juanza74,2775,2595,52743,6154,,everywhere
Carbilian,Carbilian,124,74,384,480,,Cornisa del piso veintitrés 
tinapfaparla,tinapfaparla,423,446,10256,5774,Athens,"Parla, España"
luiiigiiisss,luiiigiiisss,425,379,5443,6175,,tu puta madre
frampiza,frampiza,410,257,22230,2562,,
MariaOxbow,MariaOxbow,1718,961,168114,1901,Athens,Barcelona
ExtremaduraRoja,ExtremaduraRoja,12702,15196,1099,119,Madrid,★☭♀Ⓐ Extremadura Ⓐ♀☭★
NNuriapat,NNuriapat,816,473,12873,10127,,Alicante España
Frida_Arenal,Frida_Arenal,1048,1089,18266,16864,,'Soy sobreviviente' Aldunate
Alex_Argrok,Alex_Argrok,282,137,22538,7110,Madrid,"Valencia, España"
Fqnd0D,Fqnd0D,586,172,5553,5989,Pacific Time (US & Canada),Vecindario
MartaArpema,MartaArpema,4980,5233,89126,2645,,DE MADRID ❤️❤️❤️
diegodegalicia,diegodegalicia,502,680,5834,656,Madrid,Fogar de Breogán
ERNESTINAFONTAL,ERNESTINAFONTAL,506,781,43294,8402,,ciudadana del mundo !! 
CarulVila,CarulVila,679,1055,45092,14984,Belgrade,"Villajoyosa, España"
gimenadeshelark,gimenadeshelark,196,133,6594,604,Madrid,♀
araultabagon97,araultabagon97,1868,704,62628,901,Ljubljana,extrema izquierda
luiskren,luiskren,142,38,207,308,,españa
AnicaCedillo,AnicaCedillo,392,205,8911,8108,,Zaragoza
Merrcuryy,Merrcuryy,262,231,22662,580,Athens,
DaniiCorraless,DaniiCorraless,609,334,1765,2115,Hawaii,Madriz
rblascom,rblascom,84,77,3633,117,,
GarabatosAlbert,GarabatosAlbert,573,367,6825,510,,
EvaWilliamDavis,EvaWilliamDavis,344,254,5835,6234,,
busaiiku,busaiiku,112,257,28380,1471,Paris,spain {独りきり 思い出す あの日}
oitaven,oitaven,743,284,8768,6072,,
rakeld12341234,rakeld12341234,680,3214,115041,31369,,EUSKADI
IAtxa,IAtxa,1235,637,10943,1210,Madrid,"EH, España, France."
DavidKisk,DavidKisk,136,317,31758,20480,Madrid,"Another Time, Another Place."
de_buenatinta,de_buenatinta,332,758,7637,4484,,España
nomoreonion,nomoreonion,10,16,496,147,,
identitaryspain,identitaryspain,263,110,732,90,,CAϟTILLA-EϟPAÑA-EVR⊕PA
lluispeiro,lluispeiro,244,110,8360,1277,Berlin,catalunya
MonteroGlez,MonteroGlez,7769,7808,27225,2668,Madrid,
dvd_bcn,dvd_bcn,1294,761,34699,31624,Amsterdam,☆ Catalunya ☆
agarciaportela,agarciaportela,7854,8426,274907,146050,,A coruña
yacareto,yacareto,2248,2235,75830,11037,Madrid,el mundo
Molt05,Molt05,157,16,73,11,,
SoniaEspinar1,SoniaEspinar1,143,162,16932,15850,Athens,
modnop,modnop,306,69,8159,1214,Madrid,En mi mundo.
claudiaglow_,claudiaglow_,122,272,37884,227,Madrid,"Málaga, Andalucía"
franja50,franja50,303,296,6926,2022,,Asturias
angelmoran1957,angelmoran1957,2910,2941,58757,139,Athens,españa
